"tconst","primaryTitle","originalTitle","startYear","runtimeMinutes","genres","numVotes"
"tt0035423","Kate & Leopold","Kate & Leopold","2001","118","Comedy,Fantasy,Romance",87032
"tt0038687","Let There Be Light","Let There Be Light","1980","58","Documentary,War",1952
"tt0052607","The Battle of the Sexes","The Battle of the Sexes","1960","84","Comedy",1638
"tt0052646","The Brain That Wouldn't Die","The Brain That Wouldn't Die","1962","82","Horror,Sci-Fi",7314
"tt0052680","Cash McCall","Cash McCall","1960","102","Drama,Romance",1552
"tt0052698","Classe Tous Risques","Classe tous risques","1960","110","Crime,Drama,Romance",4039
"tt0052784","Skeleton of Mrs. Morales","El esqueleto de la señora Morales","1960","85","Comedy,Crime,Horror",1465
"tt0052811","The Flesh and the Fiends","The Flesh and the Fiends","1960","94","Crime,Drama,Thriller",2205
"tt0052832","The Fugitive Kind","The Fugitive Kind","1960","119","Drama,Romance",6792
"tt0052849","The Girl in Lovers Lane","The Girl in Lovers Lane","1960","78","Crime,Drama,Romance",1075
"tt0052961","Kapo","Kapò","1960","117","Drama,War",2478
"tt0052997","The League of Gentlemen","The League of Gentlemen","1960","116","Comedy,Crime,Drama",4997
"tt0053106","Letter Never Sent","Neotpravlennoe pismo","1960","96","Adventure,Drama",3960
"tt0053244","The Savage Innocents","The Savage Innocents","1960","110","Adventure,Crime,Drama",1968
"tt0053250","First Spaceship on Venus","Der schweigende Stern","1960","93","Sci-Fi",3014
"tt0053279","Sign of the Lion","Le signe du lion","1962","103","Drama",2261
"tt0053459","Eyes Without a Face","Les yeux sans visage","1960","90","Drama,Horror",33396
"tt0053472","Breathless","À bout de souffle","1960","90","Crime,Drama",84956
"tt0053559","13 Ghosts","13 Ghosts","1960","85","Horror,Mystery",6610
"tt0053570","Adua e le compagne","Adua e le compagne","1960","106","Comedy,Drama",1305
"tt0053571","The Adventures of Huckleberry Finn","The Adventures of Huckleberry Finn","1960","107","Adventure,Comedy,Drama",1565
"tt0053579","Late Autumn","Akibiyori","1960","128","Comedy,Drama",5742
"tt0053580","The Alamo","The Alamo","1960","162","Adventure,Drama,History",16773
"tt0053593","The Amazing Transparent Man","The Amazing Transparent Man","1960","58","Horror,Sci-Fi",2600
"tt0053598","The Loves of Hercules","Gli amori di Ercole","1960","102","Adventure,Fantasy",1255
"tt0053602","The Angry Silence","The Angry Silence","1960","95","Drama",1605
"tt0053604","The Apartment","The Apartment","1960","125","Comedy,Drama,Romance",187396
"tt0053619","L'Avventura","L'avventura","1960","144","Drama,Mystery,Romance",31288
"tt0053622","BUtterfield 8","BUtterfield 8","1960","109","Drama,Romance",7082
"tt0053636","The Baroness from the Gas Station","Baronessen fra benzintanken","1960","122","Comedy,Romance",1185
"tt0053643","Bell' Antonio","Il bell'Antonio","1960","105","Comedy,Drama",1737
"tt0053644","The Bellboy","The Bellboy","1960","72","Comedy",4659
"tt0053645","Bells Are Ringing","Bells Are Ringing","1960","126","Comedy,Musical,Romance",3614
"tt0053651","Beyond the Time Barrier","Beyond the Time Barrier","1960","74","Romance,Sci-Fi",1849
"tt0053666","Les Bonnes Femmes","Les bonnes femmes","1960","100","Drama,Mystery,Romance",3060
"tt0053677","The Brides of Dracula","The Brides of Dracula","1960","85","Horror",8267
"tt0053690","Can-Can","Can-Can","1960","131","Comedy,Musical",2424
"tt0053699","Carry on Constable","Carry on Constable","1960","86","Comedy",2695
"tt0053715","Cimarron","Cimarron","1960","147","Drama,Romance,Western",3259
"tt0053716","Cinderfella","Cinderfella","1960","91","Comedy,Family,Fantasy",3651
"tt0053717","Circus of Horrors","Circus of Horrors","1960","92","Drama,Horror",2240
"tt0053719","The City of the Dead","The City of the Dead","1960","78","Horror,Mystery,Thriller",8053
"tt0053724","El cochecito","El cochecito","1960","85","Comedy,Drama",1431
"tt0053729","Comanche Station","Comanche Station","1960","73","Drama,Western",4079
"tt0053740","The Concrete Jungle","The Criminal","1960","97","Crime,Drama,Thriller",1681
"tt0053746","The Lady with the Dog","Dama s sobachkoy","1960","83","Drama,Romance",1086
"tt0053765","The Goddess","Devi","1960","93","Drama",2576
"tt0053768","Dinosaurus!","Dinosaurus!","1960","83","Adventure,Comedy,Fantasy",1639
"tt0053772","The Devil's Eye","Djävulens öga","1960","87","Comedy,Drama,Fantasy",4379
"tt0053779","La Dolce Vita","La dolce vita","1960","174","Comedy,Drama",75760
"tt0053793","Elmer Gantry","Elmer Gantry","1960","146","Drama",12249
"tt0053796","The Entertainer","The Entertainer","1960","96","Drama",3610
"tt0053802","Blood and Roses","Et mourir de plaisir","1960","90","Drama,Horror,Romance",1352
"tt0053804","Exodus","Exodus","1960","208","Action,Drama,War",10537
"tt0053810","The Facts of Life","The Facts of Life","1960","103","Comedy,Drama,Romance",1645
"tt0053825","Flaming Star","Flaming Star","1960","101","Drama,Western",3787
"tt0053841","From the Terrace","From the Terrace","1960","149","Drama,Romance",3012
"tt0053848","G.I. Blues","G.I. Blues","1960","104","Comedy,Musical",4236
"tt0053849","The Gallant Hours","The Gallant Hours","1960","115","Biography,Drama,War",1768
"tt0053877","The Grass Is Greener","The Grass Is Greener","1960","104","Comedy,Drama,Romance",5507
"tt0053879","The Great Impostor","The Great Impostor","1960","113","Comedy,Drama",1610
"tt0053882","The 3 Worlds of Gulliver","The 3 Worlds of Gulliver","1960","99","Adventure,Family,Fantasy",2925
"tt0053899","Hell Bent for Leather","Hell Bent for Leather","1960","82","Western",1158
"tt0053900","Hell Is a City","Hell Is a City","1960","98","Crime,Thriller",1253
"tt0053901","Hell to Eternity","Hell to Eternity","1960","131","Biography,Drama,War",1529
"tt0053902","Heller in Pink Tights","Heller in Pink Tights","1960","100","Western",1460
"tt0053917","Home from the Hill","Home from the Hill","1960","150","Drama,Romance",3628
"tt0053925","House of Usher","House of Usher","1960","79","Drama,Horror",14175
"tt0053946","Inherit the Wind","Inherit the Wind","1960","128","Biography,Drama,History",31586
"tt0053957","It Started in Naples","It Started in Naples","1960","100","Comedy,Drama",2987
"tt0053967","The Young One","The Young One","1960","96","Drama",2932
"tt0053976","The Virgin Spring","Jungfrukällan","1960","89","Drama",30487
"tt0053987","The Steamroller and the Violin","Katok i skripka","1961","46","Drama",6811
"tt0053994","Kidnapped","Kidnapped","1960","97","Action,Adventure,Drama",1539
"tt0054001","Inspector Palmu's Error","Komisario Palmun erehdys","1960","109","Comedy,Crime,Mystery",2014
"tt0054004","Knights of the Teutonic Order","Krzyzacy","1960","166","Adventure,Drama,History",2088
"tt0054016","The Last Voyage","The Last Voyage","1960","91","Action,Adventure,Drama",2288
"tt0054017","Last Woman on Earth","Last Woman on Earth","1960","71","Drama,Horror,Mystery",2052
"tt0054020","The Leech Woman","The Leech Woman","1960","77","Horror,Romance,Sci-Fi",2050
"tt0054022","Let's Make Love","Let's Make Love","1960","119","Comedy,Musical,Romance",7782
"tt0054033","The Little Shop of Horrors","The Little Shop of Horrors","1960","72","Comedy,Horror",18865
"tt0054038","The Lost World","The Lost World","1960","97","Adventure,Fantasy,Sci-Fi",4260
"tt0054042","Macario","Macario","1960","91","Drama,Fantasy,Mystery",3945
"tt0054047","The Magnificent Seven","The Magnificent Seven","1960","128","Action,Adventure,Drama",98709
"tt0054049","Make Mine Mink","Make Mine Mink","1960","101","Comedy",1104
"tt0054067","Black Sunday","La maschera del demonio","1960","87","Horror",16668
"tt0054073","The Cloud-Capped Star","Meghe Dhaka Tara","1960","126","Drama,Musical",2995
"tt0054084","Midnight Lace","Midnight Lace","1960","103","Crime,Drama,Music",5705
"tt0054086","The Millionairess","The Millionairess","1960","90","Comedy,Drama,Romance",1940
"tt0054091","Seven Days... Seven Nights","Moderato cantabile","1960","91","Drama",1112
"tt0054098","Mughal-E-Azam","Mughal-E-Azam","1960","197","Drama,Romance,War",8532
"tt0054099","Mill of the Stone Women","Il mulino delle donne di pietra","1960","96","Horror,Sci-Fi",1934
"tt0054102","Murder, Inc.","Murder, Inc.","1960","103","Biography,Crime,Drama",1595
"tt0054115","Never Let Go","Never Let Go","1960","90","Crime,Drama,Thriller",1620
"tt0054116","Never Take Candy from A Stranger","Never Take Sweets from a Stranger","1960","81","Drama,Horror,Mystery",1823
"tt0054119","Innocent Sorcerers","Niewinni czarodzieje","1960","83","Drama,Music,Romance",1447
"tt0054127","North to Alaska","North to Alaska","1960","122","Comedy,Romance,Western",8159
"tt0054130","La Notte","La notte","1961","122","Drama",22901
"tt0054135","Ocean's Eleven","Ocean's Eleven","1960","127","Comedy,Crime,Music",24237
"tt0054144","When a Woman Ascends the Stairs","Onna ga kaidan wo agaru toki","1960","111","Drama",4629
"tt0054156","Paris Belongs to Us","Paris nous appartient","1961","141","Drama,Mystery,Thriller",2594
"tt0054159","Passenger","Pasazerka","1963","62","Drama,War",1984
"tt0054167","Peeping Tom","Peeping Tom","1960","101","Drama,Horror,Thriller",37311
"tt0054172","Pepe","Pepe","1960","180","Comedy,Musical",1089
"tt0054177","The Little Soldier","Le petit soldat","1963","88","Drama,War",7841
"tt0054188","Please Don't Eat the Daisies","Please Don't Eat the Daisies","1960","112","Comedy,Family,Romance",4753
"tt0054189","Purple Noon","Plein soleil","1960","118","Crime,Drama,Thriller",17871
"tt0054195","Pollyanna","Pollyanna","1960","134","Comedy,Drama,Family",10857
"tt0054197","Portrait in Black","Portrait in Black","1960","112","Crime,Drama,Mystery",1693
"tt0054198","Never on Sunday","Pote tin Kyriaki","1960","91","Comedy,Drama,Romance",5938
"tt0054205","Primary","Primary","1960","60","Documentary,History,News",1414
"tt0054209","Private Property","Private Property","1960","79","Crime,Drama",1131
"tt0054215","Psycho","Psycho","1960","109","Horror,Mystery,Thriller",690516
"tt0054225","Girl with a Suitcase","La ragazza con la valigia","1961","121","Drama,Romance",2290
"tt0054230","The Rat Race","The Rat Race","1960","105","Comedy,Drama,Romance",1343
"tt0054240","Orgy of the Dead","Orgy of the Dead","1965","92","Fantasy,Horror",3151
